id,title,slug,description,url,domain,workload
PaAcoHASEe-Quwr_1ABTmQ,Security and Risk Management,packt-security-and-risk-management-f4vdz,,https://www.coursera.org/learn/packt-security-and-risk-management-f4vdz,,
2s6eVEBfEfCO_gr_yN6pEQ,Sports Marketing Strategies & Innovation,sports-marketing-strategies-innovation,,https://www.coursera.org/learn/sports-marketing-strategies-innovation,,
ceqjA8sfEeyrfRJb6yDGgQ,La noción de ética para la vida profesional,la-nocion-de-la-etica-para-la-vida-profesional,,https://www.coursera.org/learn/la-nocion-de-la-etica-para-la-vida-profesional,,
LRk8v5CGEe6sJxKW3D1qOQ,Clase Entera con PhET para la Educación STEM,clase-entera-con-phet-para-la-educacin-stem,,https://www.coursera.org/learn/clase-entera-con-phet-para-la-educacin-stem,,
V3swaioIEe6mDAo3fVlzHw,Create Image Captioning Models - Italiano,create-image-captioning-models-italiano,,https://www.coursera.org/learn/create-image-captioning-models-italiano,,
EY_9mpidEe2L_wpgKckryw,Learning Server-side Programming through Game Development,learning-server-side-programming-through-game-development,,https://www.coursera.org/learn/learning-server-side-programming-through-game-development,,
wo2dQ9UHEeuQPgr6ug5Y-w,Conceptos básicos para la igualdad de género,genero-igualdad,,https://www.coursera.org/learn/genero-igualdad,,
WjWqdVVxEeWsGQ6fKrurvQ,Villes africaines: Environnement et enjeux de développement durable,environnement-urbain-afrique,,https://www.coursera.org/learn/environnement-urbain-afrique,,
TsI6pDypEea3LQ6P_ZHapQ,Introduction to UI Design,ui-design,,https://www.coursera.org/learn/ui-design,,
IRjTH2MlEfCy5w726iKh0Q,Certified Associate in Project Management (CAPM)® Exam: Unit 8,pearson-certified-associate-in-project-management-capm-r-exam-complete-vid-qsel7,,https://www.coursera.org/learn/pearson-certified-associate-in-project-management-capm-r-exam-complete-vid-qsel7,,
VAZnntZpEe6PnQom9vUvGw,ChatGPT - Usos y Estrategias,chat-gpt,,https://www.coursera.org/learn/chat-gpt,,
40FkQCghEe-I1wr_7a5dgw,Leading with Power Skills: Working with Personality Types,leading-with-power-skills-working-with-personality-types,,https://www.coursera.org/learn/leading-with-power-skills-working-with-personality-types,,
hESqA3EhEeWIfhKr_WcYsQ,Fundamentals of GIS,gis,,https://www.coursera.org/learn/gis,,
7G9QP_fWEeiRYAoJyynoUg,Preparing for your Professional Cloud Architect Journey,preparing-cloud-professional-cloud-architect-exam,,https://www.coursera.org/learn/preparing-cloud-professional-cloud-architect-exam,,
eZStbKkqEeyxDg4ukgkVlw,Deploy Kubernetes Load Balancer Service with Terraform,googlecloud-deploy-kubernetes-load-balancer-service-with-terraform-peoa4,,https://www.coursera.org/learn/googlecloud-deploy-kubernetes-load-balancer-service-with-terraform-peoa4,,
8sLj-mhDEe6C8Aq3MM882w,Node.js & MongoDB: Developing Back-end Database Applications,intermediate-back-end-development-with-node-js-mongodb,,https://www.coursera.org/learn/intermediate-back-end-development-with-node-js-mongodb,,
Ci-CgAWfEfCd-gr_6GMchQ,Salesforce Certified AI Associate Certification,packt-salesforce-certified-ai-associate-certification-a3r1f,,https://www.coursera.org/learn/packt-salesforce-certified-ai-associate-certification-a3r1f,,
Yr-NQ2SVEe-e0g4kKcdYJQ,Unity Android — Build a 3D ZigZag Racing Game with C#,packt-unity-android-build-a-3d-zigzag-racing-game-with-c-5laag,,https://www.coursera.org/learn/packt-unity-android-build-a-3d-zigzag-racing-game-with-c-5laag,,
